issue_id,severity,issue_type,message,source_ref,entity_type,entity_key,employee_id,holder_name,store_code,quantity,serial_count
ISSUE-00236,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=6,transfer,TRF-3B1584DADA,,,,,
ISSUE-00237,REVIEW,TRANSFER_ASSET_NOT_IN_INVENTORY,Transfer record created an asset pending identity confirmation,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=7,asset,SN:TCEY004688,,,,,
ISSUE-00238,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=7,transfer,TRF-15A1E014B5,,,,,
ISSUE-00239,REVIEW,TRANSFER_ASSET_NOT_IN_INVENTORY,Transfer record created an asset pending identity confirmation,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=8,asset,SN:TCCY014794,,,,,
ISSUE-00240,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=8,transfer,TRF-E06E6EE721,,,,,
ISSUE-00241,REVIEW,TRANSFER_ASSET_NOT_IN_INVENTORY,Transfer record created an asset pending identity confirmation,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=9,asset,SN:G17NE9935,,,,,
ISSUE-00242,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=9,transfer,TRF-56E96A0B3D,,,,,
ISSUE-00243,REVIEW,TRANSFER_ASSET_NOT_IN_INVENTORY,Transfer record created an asset pending identity confirmation,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=10,asset,SN:G21M82827,,,,,
ISSUE-00244,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=10,transfer,TRF-D1D31D287D,,,,,
ISSUE-00245,REVIEW,TRANSFER_ASSET_NOT_IN_INVENTORY,Transfer record created an asset pending identity confirmation,Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=11,asset,SN:G21NE8123,,,,,
ISSUE-00246,REVIEW,TRANSFER_METADATA_INCOMPLETE,"Transfer destination is inferred from worksheet name; date, requester and approval are missing",Data clear/05_Broken_and_Transfers_Cleaned.xlsx#Transfer_Map_Fashion!row=11,transfer,TRF-58EDF67F82,,,,,
ISSUE-00247,REVIEW,DUPLICATE_SOURCE_SHEET_ROW,Same inventory row repeated in another sheet of the workbook,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 1!row=11,source,,,,,,
ISSUE-00248,REVIEW,DUPLICATE_SOURCE_SHEET_ROW,Same inventory row repeated in another sheet of the workbook,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VO05-Thùng 1!row=12,source,,,,,,
